Date,Close/Last,Volume,Open,High,Low
01/04/2016,4903.09,--,4897.65,4903.09,4846.98
12/31/2015,5007.41,--,5047.04,5058.06,5007.01
12/30/2015,5065.85,--,5101.18,5102.35,5065.68
12/29/2015,5107.94,--,5066.52,5116.99,5065.89
12/28/2015,5040.99,--,5032.29,5041.27,4999.07
12/25/2015,5048.49,--,0.00,0.00,0.00
12/24/2015,5048.49,--,5046.19,5063.28,5043.65
12/23/2015,5045.93,--,5025.55,5046.09,5020.44
12/22/2015,5001.11,--,4988.68,5007.77,4964.08
12/21/2015,4968.92,--,4957.53,4968.92,4928.93
12/18/2015,4923.08,--,4982.58,4996.49,4921.33
12/17/2015,5002.55,--,5087.17,5088.58,5002.55
12/16/2015,5071.13,--,5033.48,5078.99,4992.63
12/15/2015,4995.36,--,4991.21,5026.54,4986.99
12/14/2015,4952.23,--,4932.61,4953.60,4871.59
12/11/2015,4933.47,--,4979.77,4996.19,4928.67
12/10/2015,5045.17,--,5026.30,5075.65,5019.31
12/09/2015,5022.87,--,5077.21,5106.37,5000.12
12/08/2015,5098.24,--,5050.52,5111.73,5045.73
12/07/2015,5101.81,--,5139.46,5139.78,5082.23
12/04/2015,5142.27,--,5050.93,5147.00,5043.49
12/03/2015,5037.53,--,5143.16,5144.60,5011.72
12/02/2015,5123.22,--,5158.82,5176.77,5117.15
12/01/2015,5156.31,--,5129.64,5156.31,5120.17
11/30/2015,5108.67,--,5139.58,5141.36,5098.70
11/27/2015,5127.52,--,5121.93,5134.35,5108.51
11/26/2015,5116.14,--,0.00,0.00,0.00
11/25/2015,5116.14,--,5106.87,5124.09,5101.18
11/24/2015,5102.81,--,5070.66,5110.75,5050.14
11/23/2015,5102.48,--,5106.72,5128.08,5084.85
11/20/2015,5104.92,--,5096.96,5112.46,5094.32
11/19/2015,5073.64,--,5078.67,5092.46,5067.27
11/18/2015,5075.20,--,5004.60,5078.80,5001.67
11/17/2015,4986.02,--,4991.71,5023.45,4975.74
11/16/2015,4984.62,--,4916.14,4984.91,4908.66
11/13/2015,4927.88,--,4980.86,4989.06,4925.35
11/12/2015,5005.08,--,5043.10,5062.49,5004.46
11/11/2015,5067.02,--,5098.13,5111.19,5066.68
11/10/2015,5083.24,--,5068.55,5086.88,5051.22
11/09/2015,5095.30,--,5128.94,5133.44,5066.10
11/06/2015,5147.12,--,5124.04,5147.12,5092.87
11/05/2015,5127.74,--,5144.15,5154.86,5098.49
11/04/2015,5142.48,--,5155.62,5162.57,5122.78
11/03/2015,5145.13,--,5114.31,5163.47,5109.68
11/02/2015,5127.15,--,5065.64,5130.51,5061.47
10/30/2015,5053.75,--,5079.76,5085.22,5053.75
10/29/2015,5074.27,--,5071.04,5084.63,5066.89
10/28/2015,5095.69,--,5040.38,5095.69,5019.60
10/27/2015,5030.15,--,5018.99,5040.08,5009.07
10/26/2015,5034.70,--,5030.80,5045.16,5012.74
10/23/2015,5031.86,--,5024.38,5048.55,4999.54
10/22/2015,4920.05,--,4875.96,4926.99,4861.80
10/21/2015,4840.12,--,4903.98,4904.85,4836.46
10/20/2015,4880.97,--,4900.02,4909.37,4866.60
10/19/2015,4905.47,--,4873.54,4915.49,4865.83
10/16/2015,4886.69,--,4872.36,4886.95,4851.28
10/15/2015,4870.10,--,4799.43,4870.10,4795.29
10/14/2015,4782.85,--,4801.35,4820.09,4771.62
10/13/2015,4796.61,--,4809.24,4858.28,4793.92
10/12/2015,4838.64,--,4839.79,4846.74,4818.17
10/09/2015,4830.47,--,4817.28,4841.38,4804.59
10/08/2015,4810.79,--,4775.06,4819.07,4737.93
10/07/2015,4791.15,--,4775.05,4791.15,4728.71
10/06/2015,4748.36,--,4767.63,4783.37,4711.79
10/05/2015,4781.26,--,4742.13,4785.91,4740.24
10/02/2015,4707.78,--,4566.13,4707.78,4552.34
10/01/2015,4627.08,--,4624.46,4628.23,4559.21
09/30/2015,4620.16,--,4574.38,4620.16,4559.18
09/29/2015,4517.32,--,4551.04,4596.06,4487.06
09/28/2015,4543.97,--,4665.06,4665.21,4529.41
09/25/2015,4686.50,--,4782.41,4785.22,4659.48
09/24/2015,4734.48,--,4717.89,4746.21,4670.12
09/23/2015,4752.74,--,4764.69,4780.64,4735.13
09/22/2015,4756.72,--,4762.29,4776.28,4716.91
09/21/2015,4828.95,--,4851.98,4881.46,4795.91
09/18/2015,4827.23,--,4828.71,4878.71,4819.09
09/17/2015,4893.95,--,4884.11,4960.87,4880.50
09/16/2015,4889.24,--,4860.43,4893.44,4848.15
09/15/2015,4860.52,--,4819.32,4872.35,4802.09
09/14/2015,4805.76,--,4831.98,4832.00,4791.08
09/11/2015,4822.34,--,4770.73,4822.34,4763.15
09/10/2015,4796.25,--,4749.96,4826.33,4746.52
09/09/2015,4756.53,--,4856.27,4862.88,4746.73
09/08/2015,4811.93,--,4769.72,4815.04,4754.89
09/07/2015,4683.92,--,0.00,0.00,0.00
09/04/2015,4683.92,--,4670.35,4712.67,4657.82
09/03/2015,4733.50,--,4763.10,4800.18,4721.91
09/02/2015,4749.98,--,4704.42,4749.98,4659.41
09/01/2015,4636.10,--,4673.61,4722.13,4614.91
08/31/2015,4776.51,--,4798.68,4824.61,4763.42
08/28/2015,4828.32,--,4792.11,4836.78,4788.38
08/27/2015,4812.71,--,4761.05,4818.71,4721.79
08/26/2015,4697.54,--,4633.51,4703.97,4530.03
08/25/2015,4506.49,--,4687.27,4689.54,4506.10
08/24/2015,4526.25,--,4351.61,4694.90,4292.14
08/21/2015,4706.04,--,4801.04,4856.75,4706.04
08/20/2015,4877.49,--,4973.49,4986.51,4877.49
08/19/2015,5019.05,--,5039.03,5060.93,4992.85
08/18/2015,5059.35,--,5082.17,5085.14,5054.97
08/17/2015,5091.70,--,5032.34,5092.69,5022.42
08/14/2015,5048.24,--,5025.92,5051.89,5012.61
08/13/2015,5033.56,--,5050.94,5071.46,5029.61
08/12/2015,5044.39,--,4994.52,5055.75,4945.79
08/11/2015,5036.79,--,5069.16,5089.33,5013.45
08/10/2015,5101.80,--,5081.72,5112.47,5081.11
08/07/2015,5043.54,--,5043.97,5055.56,5006.15
08/06/2015,5056.44,--,5146.63,5149.93,5035.41
08/05/2015,5139.94,--,5132.77,5175.26,5131.86
08/04/2015,5105.55,--,5110.96,5125.90,5092.46
08/03/2015,5115.38,--,5134.34,5143.08,5082.32
07/31/2015,5128.28,--,5148.18,5155.02,5122.37
07/30/2015,5128.78,--,5100.30,5135.65,5070.62
07/29/2015,5111.73,--,5097.86,5117.84,5080.04
07/28/2015,5089.21,--,5063.44,5097.69,5025.61
07/27/2015,5039.78,--,5055.92,5072.88,5032.69
07/24/2015,5088.63,--,5166.91,5167.54,5084.51
07/23/2015,5146.41,--,5180.33,5197.00,5137.64
07/22/2015,5171.77,--,5146.03,5184.74,5145.78
07/21/2015,5208.12,--,5219.20,5229.00,5196.30
07/20/2015,5218.86,--,5223.18,5231.94,5201.49
07/17/2015,5210.14,--,5196.11,5210.16,5183.23
07/16/2015,5163.18,--,5138.18,5163.18,5128.56
07/15/2015,5098.94,--,5111.11,5125.32,5088.12
07/14/2015,5104.89,--,5077.12,5116.52,5075.12
07/13/2015,5071.51,--,5037.27,5074.81,5036.68
07/10/2015,4997.70,--,4981.24,5008.05,4966.51
07/09/2015,4922.40,--,4976.15,4982.19,4920.40
07/08/2015,4909.76,--,4953.98,4965.45,4901.51
07/07/2015,4997.46,--,4993.76,5001.99,4902.21
07/06/2015,4991.94,--,4963.80,5020.71,4960.93
07/03/2015,5009.21,--,0.00,0.00,0.00
07/02/2015,5009.21,--,5024.30,5027.47,4990.74
07/01/2015,5013.12,--,5029.05,5038.55,4994.46
06/30/2015,4986.87,--,5000.15,5008.76,4968.26
06/29/2015,4958.47,--,5021.21,5051.01,4956.23
06/26/2015,5080.51,--,5113.26,5121.47,5060.82
06/25/2015,5112.19,--,5139.48,5141.71,5102.16
06/24/2015,5122.41,--,5151.38,5164.36,5121.64
06/23/2015,5160.09,--,5161.68,5163.41,5139.33
06/22/2015,5153.97,--,5147.87,5162.13,5142.78
06/19/2015,5117.00,--,5139.77,5140.17,5113.94
06/18/2015,5132.95,--,5082.06,5143.32,5082.03
06/17/2015,5064.88,--,5067.68,5080.11,5042.25
06/16/2015,5055.55,--,5023.58,5063.06,5022.56
06/15/2015,5029.97,--,5011.79,5035.37,4985.94
06/12/2015,5051.10,--,5060.24,5067.96,5043.24
06/11/2015,5082.51,--,5088.26,5101.39,5075.05
06/10/2015,5076.69,--,5029.41,5086.66,5024.17
06/09/2015,5013.87,--,5013.13,5027.02,4974.62
06/08/2015,5021.63,--,5066.65,5069.00,5014.06
06/05/2015,5068.46,--,5057.04,5074.98,5025.52
06/04/2015,5059.12,--,5078.22,5101.11,5046.29
06/03/2015,5099.23,--,5098.48,5114.60,5084.99
06/02/2015,5076.52,--,5063.47,5100.02,5047.35
06/01/2015,5082.93,--,5094.94,5099.01,5045.67
05/29/2015,5070.03,--,5093.10,5099.40,5057.59
05/28/2015,5097.98,--,5096.34,5106.65,5080.25
05/27/2015,5106.59,--,5047.86,5111.54,5039.37
05/26/2015,5032.75,--,5076.91,5081.17,5016.74
05/25/2015,5089.36,--,0.00,0.00,0.00
05/22/2015,5089.36,--,5085.39,5103.84,5085.19
05/21/2015,5090.79,--,5065.94,5098.23,5062.51
05/20/2015,5071.74,--,5072.44,5097.52,5050.21
05/19/2015,5070.03,--,5080.44,5087.35,5062.80
05/18/2015,5078.44,--,5040.92,5084.50,5037.54
05/15/2015,5048.29,--,5059.15,5062.65,5034.84
05/14/2015,5050.80,--,5016.68,5051.72,4999.65
05/13/2015,4981.69,--,4991.42,5012.97,4977.49
05/12/2015,4976.19,--,4966.44,4995.50,4931.60
05/11/2015,4993.57,--,5003.26,5017.38,4992.02
05/08/2015,5003.55,--,4991.63,5014.33,4989.26
05/07/2015,4945.54,--,4917.75,4957.12,4914.53
